cluster_id,medoid_id,Longitude,Latitude
0,Mid6679,-113.48487383434741,53.601305100831354
1,Mid4163,-113.51492569092791,53.52289326108867
2,Mid6526,-113.459741612974,53.512322677081535
3,Mid2677,-113.53790518337205,53.42485607309866
4,Mid1406,-113.42740698550769,53.59942646168229
5,Mid1279,-113.55632784078634,53.57032032693031
6,Mid2571,-113.49493703228514,53.48354136496637
7,Mid2792,-113.52311332890243,53.5669575875839
8,Mid4930,-113.39986167214747,53.51239653129358
9,Mid3662,-113.6304285311296,53.53103399884453
10,Mid2769,-113.48839885735295,53.53572259385681
11,Mid4269,-113.51680413079572,53.61060391277952
12,Mid3940,-113.50090201460823,53.488239192718616
13,Mid6525,-113.48144245309373,53.51223905051708
14,Mid3453,-113.5094427942056,53.61407846842907
15,Mid1654,-113.61519171114229,53.55075507713375
16,Mid2605,-113.47592714687099,53.53306263837938
17,Mid3303,-113.53883809306217,53.47014981741127
18,Mid1460,-113.5260225235524,53.59958810984902
19,Mid1784,-113.49796660648478,53.45381006369225
20,Mid7406,-113.52275527641187,53.42902000381371
21,Mid1429,-113.42738189671743,53.59960606076816
22,Mid3291,-113.53872680736211,53.463050361022155
23,Mid7681,-113.52351526681213,53.52930787781806
24,Mid4641,-113.58704110396296,53.43087705811388
25,Mid5063,-113.45307078047442,53.54122744028753
26,Mid1721,-113.36918290594889,53.622137780309885
27,Mid2030,-113.41868040129116,53.53576344709475
28,Mid4101,-113.45651924337109,53.5393560945983
29,Mid6287,-113.40237632492736,53.59624884497571
30,Mid2771,-113.51621977862398,53.42261352547106
31,Mid549,-113.4047836619665,53.516285158164685
32,Mid2321,-113.44605268363739,53.525289834457766
33,Mid1632,-113.3692373317558,53.50576887368974
34,Mid1791,-113.52136778513912,53.453816238068384
35,Mid3687,-113.63012001579003,53.52662991180496
36,Mid4991,-113.479405732334,53.491202770867304
37,Mid4545,-113.53853603406826,53.54724893266931
38,Mid2593,-113.48745443551202,53.53823463655426
39,Mid1382,-113.60295225754948,53.59932892657638
40,Mid3666,-113.627296508123,53.53956095641607
41,Mid3760,-113.45404262313158,53.45262895048656
42,Mid3469,-113.42591485234215,53.61577373324678
43,Mid2014,-113.41830859763334,53.502243555333166
44,Mid3110,-113.48291939744645,53.54558364915237
45,Mid4566,-113.52757666318391,53.5394781862769
46,Mid16,-113.41843282211372,53.584196891466846
47,Mid3588,-113.31962146078706,53.57127505411342
48,Mid1196,-113.51664855573367,53.473926153984586
49,Mid4026,-113.43562622505218,53.44912863004429
50,Mid3781,-113.66438663713498,53.45403398057804
51,Mid1131,-113.48330950500495,53.560502098184905
